name,inc,games,ic
Scott Foster,126,75,6
Josh Tiven,119,66,3
Leroy Richardson,101,57,6
Tom Washington,98,62,2
Tre Maddox,97,48,2
Marc Davis,95,64,5
Kane Fitzgerald,93,63,3
Monty McCutchen,93,65,2
Eric Lewis,90,64,2
Ken Mauer,90,59,6
Tony Brothers,89,58,4
Derrick Collins,88,53,2
Derrick Stafford,88,53,6
Tony Brown,85,52,3
Mike Callahan,85,51,1
Jason Phillips,83,56,4
Michael Smith,83,55,4
Ron Garretson,78,44,2
Bennie Adams,75,46,5
John Goble,74,48,4
Kevin Cutler,73,46,4
David Guthrie,70,53,3
Pat Fraher,69,49,
Dan Crawford,68,58,
James Capers,65,53,
Eric Dalen,65,46,3
Bill Spooner,65,46,2
Matt Boland,64,43,3
Courtney Kirkland,61,47,2
Rodney Mott,61,51,3
Brent Barnaky,60,45,1
Kevin Scott,59,48,6
Bill Kennedy,57,55,4
J.T. Orr,57,49,4
Marat Kogut,56,45,4
Ed Malloy,54,46,2
Nick Buchert,53,45,2
Mark Ayotte,52,34,
Brian Forte,52,42,2
Sean Corbin,50,44,3
Curtis Blair,49,37,3
David Jones,49,28,
Mitchell Ervin,49,39,3
Lauren Holtkamp,49,41,3
Karl Lane,48,43,3
Mark Lindsay,47,50,
Derek Richardson,47,44,1
Eli Roe,40,28,2
Gediminas Petraitis,39,37,2
Steve Anderson,38,35,4
Tyler Ford,36,35,3
,24,4,
Jacyn Goble,21,14,
Joe Crawford,9,10,1
