name,inc,games,ic
Scott Foster,131,81,6
Josh Tiven,122,71,3
Leroy Richardson,111,67,6
Tom Washington,110,72,2
Tre Maddox,109,56,2
Kane Fitzgerald,100,69,3
Marc Davis,99,73,5
Tony Brothers,97,64,4
Eric Lewis,95,72,4
Ken Mauer,95,67,6
Monty McCutchen,95,71,3
Derrick Collins,94,61,2
Justin Van Duyne,94,58,5
Derrick Stafford,93,58,6
Mike Callahan,92,60,1
Tony Brown,90,55,3
John Goble,85,58,4
Michael Smith,84,59,4
Jason Phillips,83,56,4
Bennie Adams,81,55,5
Pat Fraher,81,59,
Ron Garretson,80,47,2
James Capers,76,63,1
Kevin Cutler,76,55,4
David Guthrie,73,57,3
Eric Dalen,73,52,3
Matt Boland,72,51,4
Rodney Mott,70,60,3
Bill Spooner,70,52,3
Brent Barnaky,69,53,1
Dan Crawford,68,58,
Marat Kogut,68,51,4
Kevin Scott,68,53,6
J.T. Orr,68,57,5
Bill Kennedy,67,63,4
Nick Buchert,64,58,3
Courtney Kirkland,63,50,2
Ed Malloy,62,53,2
Lauren Holtkamp,61,51,3
Mark Ayotte,58,44,
Mark Lindsay,58,56,
Brian Forte,58,48,2
Sean Corbin,57,48,4
Curtis Blair,54,43,3
Karl Lane,52,47,3
Derek Richardson,52,51,2
Mitchell Ervin,50,43,3
David Jones,49,28,
Tyler Ford,45,44,5
Gediminas Petraitis,44,43,2
Eli Roe,40,28,2
Steve Anderson,38,35,4
Brett Nansel,28,25,
,24,6,
Jacyn Goble,24,18,
Joe Crawford,9,10,1
Jason Goldenberg,7,8,
J.B. DeRosa,5,3,
Randy Richardson,2,1,
Ray Acosta,1,1,
